rebalance_month,symbol,rank,adv_usd,n_days_trailing
2017-01,AAPL,1,4249003232.76,252
2017-01,META,2,3056484155.52,252
2017-01,AMZN,3,2951918371.0,252
2017-01,MSFT,4,1869996450.49,252
2017-01,BAC,5,1759458547.92,252
2017-01,GOOGL,6,1598754069.56,252
2017-01,GOOG,7,1454635254.72,252
2017-01,BABA,8,1324841219.77,252
2017-01,JPM,9,1213651465.05,252
2017-01,WFC,10,1211296057.04,252
2017-01,XOM,11,1188050697.45,252
2017-01,GE,12,1187545802.81,252
2017-01,PFE,13,1106658622.8,252
2017-01,PG,14,1106278369.59,252
2017-01,C,15,1084372092.15,252
2017-01,AGN,16,1021127032.64,252
2017-01,T,17,1008017156.86,252
2017-01,TSLA,18,986815017.32,252
2017-01,GILD,19,980222996.74,252
2017-01,JNJ,20,961428481.06,252
2017-01,CVX,21,872423316.45,252
2017-01,DIS,22,858502575.09,252
2017-01,V,23,839460990.32,252
2017-01,INTC,24,836526301.9,252
2017-01,VZ,25,826641813.74,252
2017-01,BKNG,26,799105801.55,252
2017-01,CSCO,27,774304692.77,252
2017-01,MCD,28,741013477.67,252
2017-01,HD,29,726311372.18,252
2017-01,BHC,30,717900859.7,252
2017-01,WMT,31,709188435.37,252
2017-01,CMCSA,32,700947750.61,252
2017-01,NVDA,33,697131960.2,252
2017-01,GS,34,689010790.67,252
2017-01,IBM,35,668703993.06,252
2017-01,MRK,36,650038185.45,252
2017-01,KO,37,644479509.4,252
2017-01,QCOM,38,632853283.86,252
2017-01,BA,39,622300070.59,252
2017-01,BRK.B,40,611193382.39,252
2017-01,CHTR,41,609021664.76,252
2017-01,BMY,42,608799808.64,252
2017-01,NKE,43,593671009.33,252
2017-01,SLB,44,591088444.59,252
2017-01,ORCL,45,585162299.24,252
2017-01,AMGN,46,583854086.5,252
2017-01,CVS,47,569794065.3,252
2017-01,CELG,48,568919951.48,252
2017-01,SBUX,49,567924031.77,252
2017-01,CMG,50,561569196.09,252
2017-01,BIIB,51,544712689.63,252
2017-01,BIDU,52,542021980.16,252
2017-01,ABBV,53,528447759.96,252
2017-01,AVGO,54,527211954.65,252
2017-01,UNH,55,522605960.65,252
2017-01,PEP,56,519016952.23,252
2017-01,LMT,57,512104468.91,252
2017-01,PM,58,495998107.28,252
2017-01,F,59,483650200.88,252
2017-01,RTX,60,474979339.4,252
2017-01,MDT,61,469832326.54,252
2017-01,GM,62,463163844.49,252
2017-01,DAL,63,462661573.89,252
2017-01,CAT,64,450838853.13,252
2017-01,MS,65,449911847.61,252
2017-01,CRM,66,449666497.84,252
2017-01,TGT,67,444853769.31,252
2017-01,AIG,68,440930373.2,252
2017-01,COP,69,440341969.03,252
2017-01,MO,70,440190029.7,252
2017-01,LOW,71,438003631.16,252
2017-01,UNP,72,434705580.8,252
2017-01,FCX,73,432962107.94,252
2017-01,MA,74,430147171.23,252
2017-01,MDLZ,75,428571858.41,252
2017-01,HAL,76,426337615.07,252
2017-01,HON,77,404194027.45,252
2017-01,MU,78,403780363.39,252
2017-01,COST,79,402669569.53,252
2017-01,LLY,80,394693624.94,252
2017-01,ABT,81,393019521.02,252
2017-01,NXPI,82,392942785.34,252
2017-01,DOW,83,391585614.22,252
2017-01,DD,84,391585614.22,252
2017-01,MMM,85,384475582.13,252
2017-01,REGN,86,382111997.85,252
2017-01,VLO,87,379598048.13,252
2017-01,KMI,88,374818056.6,252
2017-01,TXN,89,374669758.35,252
2017-01,AXP,90,373935769.64,252
2017-01,OXY,91,361442634.05,252
2017-01,SHPG,92,360848615.53,252
2017-01,AAL,93,360640060.65,252
2017-01,PYPL,94,359072683.01,252
2017-01,MET,95,354096088.86,252
2017-01,TEVA,96,348702371.19,252
